	sentence	annotation
0	teachers find difficult make students learn new concept teenage years	argument
1	present systematic nursing hospitals primary paved route	non_argument
2	distance fact form data transferred computer	non_argument
3	students finished high schools confused subjects going choose study universities	argument
4	strategic bombing sailors sometimes also symbols means production	non_argument
5	longer incubation alaska known fundamental interactions virtual photons	non_argument
6	confirm sponsored helped sardinian plotters organising revolution island stopped last moment concession charles albert statute	non_argument
7	weleily opening businesses shops catered	non_argument
8	ducks accepted presence populated areas	non_argument
9	internet inexhaustible resource visual aids educational games sounds images students may absorb abstract concepts taught school briskly thoroughly	argument
10	flow nevertheless courts nationwide rider stefan everts sporting	non_argument
11	help much enter society company required skill team work	argument
12	equestrianism long tradition popular among tsars aristocracy	non_argument
13	retrieved google videos hyperphysics website hyperphysics physics department many developing	non_argument
14	extremely marguerite pindling black ships banks rivers rivers help	non_argument
15	people nice spirit usually know find true love life instead seduced greed lose end	argument
16	school classrooms university old kind shabby	argument
17	fluctuate withdrawing college university users share	non_argument
18	still many aspects seen important income people choose job	argument
19	pose large threat ecology environment	argument
20	octopus hard beak	non_argument
21	kinetic world behind extreme slowestmoving plate pushed	non_argument
22	northern russia running sea indicating geography	non_argument
23	thanks jeffs hard working leisure time learned lot history art	argument
24	email helps arrange idea perfectly make persuasive	argument
25	employer choose old man oldfashioned education young man good fundermentaly subject also knows program speak foreign languages	argument
26	kinds public transportation dwindle number people using cars	argument
27	space following argentinas defeat nation also handles trade entering	non_argument
28	famous singers movie stars despite talent make successful always team manage works deal things	argument
29	copper company pseudocoelom geological history japanese watch	non_argument
30	pass skocpol theda daniel chirot eds vision method	non_argument
31	fifa world cup relation north korea south korea dangerous warship sinking	argument
32	statically chance goal fiftyfifty	argument
33	tax regime federal statistical office classifies citizens immigrant background regarding immigrant background	non_argument
34	classroom occupation zone kamakura period became	non_argument
35	field subject traditional medicine may also attempt reduce	non_argument
36	students find one fields study really interested	argument
37	genius average convincing proof strength	non_argument
38	parents best teacher	argument
39	humane died july clarksville wolf	non_argument
40	people live poverty less likely benefited modern communication technologies	argument
41	zoos conduce acquisition knowledge various levels	argument
42	faroese healthcare rights lesbian gay bisexual transgender people	non_argument
43	adherents catholic protestantism orthodoxy anglicanism islam hinduism	non_argument
44	students choose career want including job high salary include	argument
45	cost treatment often much higher prevention	argument
46	children rich families better skills use money	argument
47	contact intimacy children	argument
48	mean successful	argument
49	wasilla cdps wind particles rare soviet union took	non_argument
50	possible everyone visit foreign country learn foreign language	argument
51	given number native speakers	non_argument
52	standardized tests offer chance	argument
53	real interactions communications class make education much attractive	argument
54	many things past learn mistakes success knowledge many fields study	argument
55	deal facts realize social situations effectively improve social communication everyday life	argument
56	genders fulcrum society none superior inferior	argument
57	resort threefourths say get news friends family	non_argument
58	regardless competition teams emotions always released safe way due sole passion sport	argument
59	oss spread underlying infrastructure expanding tcpip networks packet networks	non_argument
60	many young owners cellular phones struggling school distracted time phones	argument
61	rising sea water drown	argument
62	surf star onlines work section find job suitable	argument
63	aspects animal instincts human motivations sometimes obey getting begets wanting rule	non_argument
64	pride country rage culture easy educate people love country	argument
65	one seeking job right city planing somewhere travel wants buy product dependable store might refer seen heard advertisements make relatively wise choice	argument
66	transportation cost less big cities less traffic	argument
67	development science technology advanced kitchen facilities modern microwaves advanced pressure cookers created invented help people prepare cook food short time	argument
68	contribute much childrens professional skills also teach students important social communication techniques order survive competitive world	argument
69	internet computer also offer comprehensive access knowledge ranging visual aural stimuli make learning ever enjoyable experience especially children	argument
70	animals different species habitats behaviors subject study schools universities	argument
71	adult ducks fast fliers	non_argument
72	many colleges foreign countries provide vacations students semester facilitate student entertain well prepare next semester	argument
73	zoo large number national foreign tourists receive great deal money	argument
74	always—but need picture books overpowering urquiza floor traditionally chairs	non_argument
75	parties cattle operation tampa also ranks	non_argument
76	huge single calendarday snowfall six world	non_argument
77	vulnerable kakapo scientific organization century	non_argument
78	longest climatologists compare current climatological trends desire automatic	non_argument
79	likes gallerists like siegfried bing georg hirth bruno möhring	non_argument
80	preparing career essential function university	argument
81	one wants learn leader experience real situation leading team group even situation	argument
82	speakers use italian second cultural language estimated around million	non_argument
83	benefit society network file sharing examples classifications overlap	non_argument
84	anyone wants achieve goal acknowledge effort experience suffering helps understand true potential increase strength ultimately prompt ready overcoming greater challenge life	argument
85	don’t much time spend kitchen	argument
86	find virtually every brand store including macys jcpenney visited	argument
87	flexible	argument
88	root violence criminal mind weapon	argument
89	subjects suitable students bring bad effects youths	argument
90	indeed evident age limit set retirement	argument
91	someone wants become good industrial engineer study technical courses well able utilize well future job	argument
92	ways shortest ways less consume time	argument
93	felt people around happy group santas also happy see people happy	argument
94	make people eat rubbish food spend less time friends family someone	argument
95	focus certain companies thinks worth invest waits high constant income	argument
96	bigger higherquality education france also found	non_argument
97	make outstanding enough fail distinguish others easily replaced eliminated someone better	argument
98	increase longterm introductory curriculum involving mathematical arts arithmetic geometry music laugh	non_argument
99	polydactyly horizon lowetage clouds forced upward resulting	non_argument
100	continent dragonflies often seen sinister	non_argument
101	professor happens original september	non_argument
102	many years ago discovered phenomenon named diamagnetism called faraday effect	non_argument
103	significant find new place living planets	argument
104	lack physical exercise facetoface communication	argument
105	sociologists found characteristics personality forms early life even though borne	argument
106	offered enso popular osgoods massive crosscultural studies evaluation	non_argument
107	many subjects little value future	argument
108	union gas relieve stress overwork many regions	non_argument
109	subterranean guide tip tip longest lake parliamentary constitutional monarchy	non_argument
110	enjoy modern life access advanced facilities	argument
111	billion neuquén wineries fruit trees grown including oranges	non_argument
112	droplets constitution expressed horse certainly	non_argument
113	shinto multiplexing protocols transfer energy region rivers flow northwest	non_argument
114	overall effect personality future individual	argument
115	mind work chained boundaries	argument
116	ctenophora unmake colonial marginalization reshape country	non_argument
117	advanced medical care brings benefits disadvantages	argument
118	western arabic numerals used	non_argument
119	makes people meet start conversation watch times like weather forecast sport programs	argument
120	nowadays people especially inhabitants cities spending time sitting front tools	argument
121	teachers explain thoroughly class give lot examples clarify points	argument
122	classical lyre hollow body	non_argument
123	students used prepare microsoft powerpoint presentation school projects get edge others early stage career	argument
124	tend provide best knowledge advice experience children	argument
125	name event draws worlds top riders malaysia	non_argument
126	online advertisement one easiest approaches due potential gains cheaper cost convenience easily observing	argument
127	part time job good students	argument
128	maintaining one’s cultural identity key important rule help individuals emerge new multicultural environments	argument
129	used allergies malnutrition neoplastic diseases pathology mountain orographic lift	non_argument
130	able know opposite gender help prepared adult life almost live work together	argument
131	even spare time consider feelings	argument
132	film rolled across bay south	non_argument
133	republicans retained	non_argument
134	romanian economy well	non_argument
135	groups classifies tropospheric aerosols five boroughs coterminous	non_argument
136	respond strongly plants contain nepetalactone especially catnip	non_argument
137	measure adopted otherwise companies liquidation	argument
138	people exercise neuron cells brain release chemical compound named dopamine	argument
139	car able see family weekends automobile great benefit financial also social terms	argument
140	churchill called occupation singapor janpan wwii britains greatest defeat	non_argument
141	part time jobs students earn money help parents	argument
142	comes field transportation doubt technology automobile made peoples life simpler	argument
143	suffer cancer diseases	argument
144	parents told children many	argument
145	trumpet mellower tone cornet	non_argument
146	stritch school mike holderness subsequently adopted term lake	non_argument
147	different specific varieties standard german	non_argument
148	despite depressed mother offspring thus	non_argument
149	persons big cities chance get better job people living small towns	argument
150	also one gave inspiration taught way study efficient	argument
151	reduce nutrients resulting various antipredator adaptations early human settlement	non_argument
152	highsalary instructors teach students harder earn money	argument
153	crime level become higher	non_argument
154	authorities privat jobs workers always looking working others	argument
155	given aristotle hardened shield like forewings	non_argument
156	antwerp municipality	non_argument
157	human arms wide variation lebanese chinese mexico wettest season	non_argument
158	robot applications may difficult obtain seed	non_argument
159	faradays wife	non_argument
160	providing money professors	argument
161	signals groupon class community social contract jeanjacques rousseau openly criticised	non_argument
162	worse people live countries confronted wars natural disasters facing even severe issues security homelessness pain losing best friends family members	argument
163	indisputable every new kind food pill may noxious scientists must something insure new invention benefits people instead making people ill even dying	argument
164	yet year following suggestion roommate john make todo list plan organize perfectly everything get done final hence take every tasks trivials control	argument
165	released pets initially confederation designated	non_argument
166	preserved daviss river ages include youthful river river	non_argument
167	followed closely network wan century	non_argument
168	take google example company offers recreation rooms extra personal leaves workers develop relaxing supportive workforce	argument
169	mexico contains largest population	non_argument
170	children might really comfortable use language native tongue kindergarten years	argument
171	scientists develop robots help people cope problems invent coffee machines engines integrated computers etc	argument
172	serious movies usually designed express one thinking love humaneness	argument
173	terms punishment living miserable life restriction world outside sustaining feeling guilt every day dark bounded room much obsessing killed right away	argument
174	many raised arms extending soundchest classical lyre	non_argument
175	children use programs wisely positive effects negative effects	argument
176	repression transferring views threeyear senior high school clinical	non_argument
177	drive private car alone family members already know lost opportunity make friends others see part society	argument
