	sentence	annotation
0	we should attach more importance to cooperation during primary education	argument
1	a more cooperative attitudes towards life is more profitable in one's success	argument
2	through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	argument
3	What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others	argument
4	During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred	argument
5	All of these skills help them to get on well with other people and will benefit them for the whole life	argument
6	competition makes the society more effective	argument
7	the significance of competition is that how to become more excellence to gain the victory	argument
8	when we consider about the question that how to win the game, we always find that we need the cooperation	argument
9	Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care	argument
10	without the cooperation, there would be no victory of competition	argument
11	they are able to sustain their cultural identities and doing so help they keep their origin values	argument
12	sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society	argument
13	maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments	argument
14	sustaining the cultural values of immigrants is paramount essential	argument
15	Take Australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues	argument
16	Many Australians come this day to enjoy the shows, learn about the cultures and admire the diverse values	argument
17	These feedbacks, in turn, help raise one’s pride of their cultures and help people understand each other more	argument
18	it is crucial to keep one’s identity	argument
19	they need a connection back to their country as well as teach their children their value of origin	argument
20	keeping the cultural traditions in the destination countries is tremendous important	argument
21	children immigrated to a new country will face social troubles in school with new friends	argument
22	In this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home	argument
23	Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism	argument
24	there are opposing ideas of neglecting one’s cultural values to adapt in the new cultures	argument
25	it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations	argument
26	international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries	argument
27	tourism has clearly improved lives in the tourist country	argument
28	international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists	argument
29	Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores	argument
30	These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard	argument
31	through tourism industry, many cultural values have been preserved and natural environments have been protected	argument
32	tourism has survived many non-tangible cultural values and beauty scenes	argument
33	in Vietnam, many cultural costumes and natural scenes, namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay, are being encouraged to preserve and funded by the tourism ministry	argument
34	Without this support and profit from tourism, many traditional cultures would disappear due to its low income works	argument
35	this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations	argument
36	the tourism has created threatening pressure on both the sociocultural and natural environments	argument
37	the tourism bring large profit for the destination countries	argument
38	international tourism can create negative impacts on the destination countries	argument
39	tourism has threatened the nature environments	argument
40	tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations	argument
